Time,root.group_9.1701.ZT1
1546350676156,0
1546350678157,0
1546350680160,0
1546350682157,0
1546350684158,0
1546350686162,0
1546350688153,0
1546350690170,0
1546350692153,0
1546350694161,0
1546350696158,0
1546350698162,0
1546350700153,0
1546350702152,0
1546350704160,0
1546350706153,0
1546350708155,0
1546350710162,0
1546350712156,0
1546350714171,0
1546350716160,0
1546350718156,0
1546350720155,0
1546350722161,0
1546350724163,0
1546350726158,0
1546350728161,0
1546350730158,0
1546350732157,0
1546350734160,0
1546350736157,0
1546350738170,0
1546350740153,0
1546350742161,0
1546350744152,0
1546350746163,0
1546350748161,0
1546350750152,0
1546350752162,0
1546350754153,0
1546350756155,0
1546350758160,0
1546350760160,0
1546350762167,0
1546350764160,0
1546350766153,0
1546350768159,0
1546350770160,0
1546350772155,0
1546350774157,0
1546350776160,0
1546350778155,0
1546350780156,0
1546350782160,0
1546350784154,0
1546350786170,0
1546350788161,0
1546350790157,0
1546350792153,0
1546350794154,0
1546350796153,0
1546350798152,0
1546350800160,0
1546350802152,0
1546350804152,0
1546350806160,0
1546350808153,0
1546350810172,0
1546350812160,0
1546350814157,0
1546350816155,0
1546350818163,0
1546350820155,0
1546350822155,0
1546350824163,0
1546350826161,0
1546350828160,0
1546350830160,0
1546350832154,0
1546350834172,0
1546350836167,0
1546350838160,0
1546350840153,0
1546350842152,0
1546350844153,0
1546350846165,0
1546350848152,0
1546350850153,0
1546350852156,0
1546350854160,0
1546350856159,0
1546350858173,0
1546350860161,0
1546350862162,0
1546350864158,0
1546350866160,0
1546350868154,0
1546350870152,0
1546350872160,0
1546350874164,0
1546350876156,0
1546350878161,0
1546350880160,0
1546350882172,0
1546350884160,0
1546350886160,0
1546350888154,0
1546350890160,0
1546350892161,0
1546350894156,0
1546350896160,0
1546350898153,0
1546350900155,0
1546350902160,0
1546350904155,0
1546350906173,0
1546350908162,0
1546350910152,0
1546350912158,0
1546350914163,0
1546350916155,0
1546350918155,0
1546350920160,0
1546350922160,0
1546350924153,0
1546350926160,0
1546350928161,0
1546350930172,0
1546350932160,0
1546350934154,0
1546350936153,0
1546350938162,0
1546350940156,0
1546350942168,0
1546350944160,0
1546350946158,0
1546350948159,0
1546350950161,0
1546350952156,0
1546350954171,0
1546350956161,0
1546350958155,0
1546350960155,0
1546350962152,0
1546350964160,0
1546350966154,0
1546350968152,0
1546350970157,0
1546350972159,0
1546350974160,0
1546350976153,0
1546350978168,0
1546350980161,0
1546350982153,0
1546350984156,0
1546350986160,0
1546350988160,0
1546350990156,0
1546350992160,0
1546350994159,0
1546350996160,0
1546350998161,0
1546351000162,0
1546351002174,0
1546351004160,0
1546351006156,0
1546351008159,0
1546351010164,0
1546351012158,0
1546351014153,0
1546351016163,0
1546351018154,0
1546351020157,0
1546351022161,0
1546351024155,0
1546351026174,0
1546351028160,0
1546351030153,0
1546351032162,0
1546351034160,0
1546351036158,0
1546351038157,0
1546351040160,0
1546351042161,0
1546351044157,0
1546351046161,0
1546351048161,0
1546351050169,0
1546351052161,0
1546351054159,0
1546351056153,0
1546351058162,0
1546351060153,0
1546351062154,0
1546351064162,0
1546351066155,0
1546351068158,0
1546351070161,0
1546351072157,0
1546351074171,0
1546351076160,0
1546351078154,0
1546351080156,0
1546351082152,0
1546351084155,0
1546351086159,0
1546351088160,0
1546351090159,0
1546351092155,0
1546351094160,0
1546351096163,0
1546351098169,0
1546351100152,0
1546351102160,0
1546351104152,0
1546351106160,0
1546351108159,0
1546351110153,0
1546351112163,0
1546351114155,0
1546351116156,0
1546351118165,0
1546351120158,0
1546351122172,0
1546351124163,0
1546351126153,0
1546351128155,0
1546351130153,0
1546351132155,0
1546351134155,0
1546351136161,0
1546351138155,0
1546351140153,0
1546351142163,0
1546351144161,0
1546351146171,0
1546351148162,0
1546351150152,0
1546351152155,0
1546351154162,0
1546351156154,0
1546351158156,0
1546351160160,0
1546351162154,0
1546351164160,0
1546351166160,0
1546351168152,0
1546351170167,0
1546351172160,0
1546351174152,0
1546351176156,0
1546351178163,0
1546351180160,0
1546351182158,0
1546351184152,0
1546351186155,0
1546351188153,0
1546351190162,0
1546351192157,0
1546351192667,0
1546351194173,0
1546351196161,0
1546351198155,0
1546351200159,0
1546351202160,0
1546351204156,0
1546351206157,0
1546351208153,0
1546351210162,0
1546351212159,0
1546351214160,0
1546351216154,0
1546351218169,0
1546351220161,0
1546351222161,0
1546351224158,0
1546351226162,0
1546351228160,0
1546351230153,0
1546351232162,0
1546351234159,0
1546351236156,0
1546351238163,0
1546351240153,0
1546351242170,0
1546351244162,0
1546351246163,0
1546351248159,0
1546351250163,0
1546351252162,0
1546351254156,0
1546351256160,0
1546351258154,0
1546351260160,0
1546351262161,0
1546351264156,0
1546351266169,0
1546351268160,0
1546351270157,0
1546351272155,0
